"Step","noisy_net: true - exploration_rate","noisy_net: true - exploration_rate__MIN","noisy_net: true - exploration_rate__MAX","noisy_net: false - exploration_rate","noisy_net: false - exploration_rate__MIN","noisy_net: false - exploration_rate__MAX"
"403","","","","0.16095073332409698","0.160950733324097","0.160950733324097"
"404","","","","0.16046788112412472","0.16046788112412472","0.16046788112412472"
"405","","","","0.1599864774807523","0.15998647748075234","0.15998647748075234"
"406","","","","0.15950651804831012","0.1595065180483101","0.1595065180483101"
"407","","","","0.15902799849416516","0.15902799849416516","0.15902799849416516"
"408","","","","0.1585509144986827","0.15855091449868267","0.15855091449868267"
"409","","","","0.15807526175518663","0.15807526175518663","0.15807526175518663"
"410","0.1131578947368421","0","0.37","0.1576010359699211","0.15760103596992106","0.15760103596992106"
"411","","","","0.15712823286201133","0.1571282328620113","0.1571282328620113"
"412","","","","0.15665684816342523","0.15665684816342526","0.15665684816342526"
"413","","","","0.156186877618935","0.156186877618935","0.156186877618935"
